feature_family,feature,feature_value,all_sample_count,all_bad_5d_rate_pct,all_bad_10d_rate_pct,all_bad_20d_rate_pct,all_mean_5d_t1_net,all_monthly_t_5d_t1_net,all_win_rate_5d_pct,all_mean_10d_t1_net,all_monthly_t_10d_t1_net,all_win_rate_10d_pct,all_mean_20d_t1_net,all_monthly_t_20d_t1_net,all_win_rate_20d_pct,discovery_sample_count,discovery_bad_5d_rate_pct,discovery_bad_10d_rate_pct,discovery_bad_20d_rate_pct,discovery_mean_5d_t1_net,discovery_monthly_t_5d_t1_net,discovery_win_rate_5d_pct,discovery_mean_10d_t1_net,discovery_monthly_t_10d_t1_net,discovery_win_rate_10d_pct,discovery_mean_20d_t1_net,discovery_monthly_t_20d_t1_net,discovery_win_rate_20d_pct,validation_sample_count,validation_bad_5d_rate_pct,validation_bad_10d_rate_pct,validation_bad_20d_rate_pct,validation_mean_5d_t1_net,validation_monthly_t_5d_t1_net,validation_win_rate_5d_pct,validation_mean_10d_t1_net,validation_monthly_t_10d_t1_net,validation_win_rate_10d_pct,validation_mean_20d_t1_net,validation_monthly_t_20d_t1_net,validation_win_rate_20d_pct,discovery_bad20_lift_pctpt,validation_bad20_lift_pctpt,discovery_mean20_delta_pct,validation_mean20_delta_pct,candidate_flag
industry_l2,l2_name,电子制造,12,25.0,16.666666666666664,33.33333333333333,-1.8135526410485296,-0.6794709017018465,41.66666666666667,4.3453940584809265,0.9747251667692167,75.0,3.799736810458627,1.0915502381571223,50.0,4,50.0,25.0,25.0,-4.467020508350535,-1.3133900766712003,25.0,4.036128045859037,1.5484481177125973,75.0,5.991295932192926,1.8578048270795127,75.0,8,12.5,12.5,37.5,-0.4868187073975274,-0.3762554391357342,50.0,4.50002706479187,0.49171169481773047,75.0,2.703957249591477,0.5718560549502284,37.5,-5.534351145038169,11.637931034482758,3.5036295480557462,-0.3986466550137311,observation
data_quality,data_quality_bucket,90_plus,290,18.96551724137931,26.20689655172414,27.241379310344826,0.5190792019991238,0.9228318149644197,51.37931034482759,0.9859158977096752,1.0650871046157564,53.44827586206896,2.83125874416694,1.562019192776983,51.724137931034484,123,23.577235772357724,29.268292682926827,28.455284552845526,-0.1643601129460116,0.38134982769093767,44.71544715447154,0.50080052243869,0.4999864144783897,50.40650406504065,2.8830231958534847,0.8131000194398414,47.15447154471545,167,15.568862275449103,23.952095808383234,26.34730538922156,1.0224506734856607,0.9063951620577249,56.287425149700596,1.343216443567946,1.0911806420559187,55.688622754491014,2.793132830649305,1.5685200822732952,55.08982035928144,-2.0790665921926426,0.4852364237043183,0.39535681171630443,-0.30947107395590345,observation
industry_l2,l2_name,通信设备,7,28.57142857142857,28.57142857142857,28.57142857142857,-3.151611555026059,-1.6243167604861306,14.285714285714285,-2.536860682653546,-0.6507643094418056,57.14285714285714,-2.541031055602264,-0.2847791658207979,42.857142857142854,6,33.33333333333333,33.33333333333333,33.33333333333333,-3.4109217842856077,-1.3757271450732407,16.666666666666664,-3.004791638735909,-0.6629109513865737,50.0,-3.4523467125122855,-0.45293503585978095,33.33333333333333,1,0.0,0.0,0.0,-1.5957501794687643,,0.0,0.2707250538406304,,100.0,2.926862885857866,,100.0,2.7989821882951595,-25.862068965517242,-5.940013096649466,-0.17574101874734227,observation
technical,l4_flag_group,none,298,18.79194630872483,26.845637583892618,28.187919463087248,0.5435991751853794,0.9095936619202701,51.67785234899329,0.9387240643594232,1.0734618166612524,54.0268456375839,2.692778127391173,1.5277218751184636,50.33557046979866,128,23.4375,31.25,30.46875,-0.2537137412772015,0.3099046034749449,44.53125,0.06431634028612374,0.3858105800676454,50.78125,2.3073163842207274,0.6683080221248439,45.3125,170,15.294117647058824,23.52941176470588,26.47058823529412,1.1439289005219107,0.9555933231238962,57.05882352941176,1.597101644838143,1.3157330824966922,56.470588235294116,2.9830081457783306,1.6789923610284476,54.11764705882353,-0.06560114503816905,0.6085192697768775,-0.18034999991645284,-0.11959575882687767,observation
entry,entry_flag_group,可直接观察,301,18.6046511627907,26.245847176079735,27.57475083056478,0.6446662649149378,0.9691909685183884,51.49501661129568,1.029256188964624,1.1187069626497406,54.15282392026578,2.9114273018910946,1.6805606819810628,51.162790697674424,129,23.25581395348837,30.23255813953488,29.457364341085274,-0.35991512048397467,0.31135741050021803,44.18604651162791,0.0724189863043836,0.4109638428101188,50.3875968992248,2.712963043529162,0.807760380147168,46.51162790697674,172,15.11627906976744,23.25581395348837,26.16279069767442,1.398102303964122,1.0584189329242504,56.97674418604651,1.746884090959804,1.3857618602094,56.97674418604651,3.0602754956625438,1.7786684886571047,54.65116279069767,-1.0769868039528951,0.3007217321571787,0.22529665939198162,-0.04232840894266454,observation
technical,pct_5d_bucket,<NA>,305,18.688524590163937,26.557377049180324,27.86885245901639,0.6287054214352595,0.913713166534362,51.80327868852459,0.9799844759189401,1.0350346130355457,54.09836065573771,2.8384831990927104,1.5956887814008023,51.147540983606554,131,23.66412213740458,31.297709923664126,30.53435114503817,-0.38671976616385256,0.22048781862258948,44.274809160305345,-0.07523766583225558,0.2749164855242184,49.61832061068702,2.48766638413718,0.7079055213821146,45.80152671755725,174,14.942528735632186,22.988505747126435,25.862068965517242,1.3931922006047057,1.0477415714623413,57.47126436781609,1.774433329766105,1.383006217220479,57.47126436781609,3.1026039046052083,1.7690682588225393,55.172413793103445,0.0,0.0,0.0,0.0,observation
board,board,main,305,18.688524590163937,26.557377049180324,27.86885245901639,0.6287054214352595,0.913713166534362,51.80327868852459,0.9799844759189401,1.0350346130355457,54.09836065573771,2.8384831990927104,1.5956887814008023,51.147540983606554,131,23.66412213740458,31.297709923664126,30.53435114503817,-0.38671976616385256,0.22048781862258948,44.274809160305345,-0.07523766583225558,0.2749164855242184,49.61832061068702,2.48766638413718,0.7079055213821146,45.80152671755725,174,14.942528735632186,22.988505747126435,25.862068965517242,1.3931922006047057,1.0477415714623413,57.47126436781609,1.774433329766105,1.383006217220479,57.47126436781609,3.1026039046052083,1.7690682588225393,55.172413793103445,0.0,0.0,0.0,0.0,observation
rank,rank_bucket,top_1_5,111,14.414414414414415,26.126126126126124,27.927927927927925,1.2533572409323865,1.3379444912173317,53.153153153153156,1.172680575439031,1.1161376666467029,55.85585585585585,2.786329934463341,1.6113262918818212,48.64864864864865,51,17.647058823529413,27.450980392156865,25.49019607843137,0.31598219133684496,0.2158252144537103,45.09803921568628,0.12063556686573851,0.04108729921804332,52.94117647058824,2.3179927316662265,0.7711450303640938,43.13725490196079,60,11.666666666666666,25.0,30.0,2.0501260330885978,1.7971296777528925,60.0,2.06691883272633,1.453916292136334,58.333333333333336,3.18441655684089,1.4914775329415535,53.333333333333336,-5.044155066606798,4.137931034482758,-0.16967365247095367,0.08181265223568168,observation
expectation,esp_raw_bucket,esp_50_100,40,25.0,42.5,40.0,-1.0461845422064282,-0.29593712595578414,40.0,-1.4059193137371966,-1.0100546689050933,40.0,2.4484720254333725,0.2873544631000762,52.5,12,41.66666666666667,58.333333333333336,58.333333333333336,-2.5159890635577766,-0.50167802168275,33.33333333333333,-4.038192363757403,-1.5383750570732828,25.0,0.6266896458819092,-0.15536736544143784,41.66666666666667,28,17.857142857142858,35.714285714285715,32.142857142857146,-0.41626831877013615,0.031827504127080776,42.857142857142854,-0.27780229229996556,-0.2231599250370287,46.42857142857143,3.2292359023840005,0.5029222920439145,57.14285714285714,27.798982188295167,6.280788177339904,-1.860976738255271,0.1266319977787922,observation
expectation,esp_raw_bucket,esp_0_50,116,16.379310344827587,25.862068965517242,29.310344827586203,0.696929292651332,0.3793447632320055,52.58620689655172,1.0655470951400405,0.8118059791120854,54.310344827586206,2.779407332543537,1.0851823073228606,48.275862068965516,47,17.02127659574468,25.53191489361702,29.78723404255319,0.48837202331413215,0.37627906637516284,40.42553191489361,0.25730794866912443,0.47613670336081154,51.06382978723404,2.0544444965929407,0.27770478096696505,44.680851063829785,69,15.942028985507244,26.08695652173913,28.985507246376812,0.8389900413302945,0.19803515462463805,60.86956521739131,1.6160868036057372,0.6323372027734712,56.52173913043478,3.273222597611333,1.308592265609816,50.72463768115942,-0.7471171024849781,3.1234382808595704,-0.4332218875442395,0.17061869300612464,observation
