subset,period_split,group_type,group_field,group_value,variant,window,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,monthly_t,sharpe_monthly,win_rate_pct
all,all,score,final_score_bucket_fine,lt_60,t1_net,5,73,73,-0.5549790485127493,-1.417071024512879,7.97484050080839,0.6934495811714365,0.20908291561588685,36.986301369863014
all,all,score,final_score_bucket_fine,60_70,t1_net,5,38,38,0.37843737774702985,-0.07097922848665159,6.010270664935317,0.12282346352543676,0.037032667633252345,50.0
all,all,score,final_score_bucket_fine,70_75,t1_net,5,149,147,1.0072700556101668,0.8814944618944988,7.582622629294053,-0.19995492040464266,-0.041693483066003095,57.14285714285714
all,all,score,final_score_bucket_fine,75_80,t1_net,5,43,40,-0.2548245802432958,-0.7745377107543093,11.172542710028196,0.16615181224203218,0.04029773363304071,47.5
all,all,score,final_score_bucket_fine,80_85,t1_net,5,52,46,1.6720371795730782,1.016317657560866,7.107148622874112,0.8740749013431748,0.21199430252583798,63.04347826086957
all,all,score,final_score_bucket_fine,85_90,t1_net,5,4,4,8.031628058766966,6.4812229047329355,8.694246897217768,2.381737486938309,1.3750967792228557,100.0
all,all,score,final_score_bucket_fine,90_plus,t1_net,5,1,1,-18.556846254927734,-18.556846254927734,,,,0.0
all,all,score,final_score_bucket_fine,lt_60,t1_net,10,73,73,0.4142341977374753,-2.4318052738336604,11.612244120231633,0.9439621012260446,0.2846152823711157,39.726027397260275
all,all,score,final_score_bucket_fine,60_70,t1_net,10,38,38,1.4163890654243207,0.7889911846542466,8.282413624706287,0.12923201650587454,0.03896491905918198,55.26315789473685
all,all,score,final_score_bucket_fine,70_75,t1_net,10,149,147,0.23886590111795863,1.0861059190031155,8.92456339029094,-0.3003592535375229,-0.06262923375799695,57.14285714285714
all,all,score,final_score_bucket_fine,75_80,t1_net,10,43,40,0.5078233695987835,0.027544532614963813,10.963419159869678,0.2720171604793293,0.06597385203746262,50.0
all,all,score,final_score_bucket_fine,80_85,t1_net,10,52,46,1.6133859882553105,0.9562521688837469,7.9439385130911315,0.9287563080313811,0.225256491674828,54.347826086956516
all,all,score,final_score_bucket_fine,85_90,t1_net,10,4,4,12.053851606748754,8.252786694210496,13.637294279069692,1.964634594897557,1.1342823122233558,100.0
all,all,score,final_score_bucket_fine,90_plus,t1_net,10,1,1,-10.803889618922486,-10.803889618922486,,,,0.0
all,all,score,final_score_bucket_fine,lt_60,t1_net,20,73,73,-0.5520164007977523,-3.6646079630384643,13.421164256646415,0.7585527875801437,0.22871227091649984,36.986301369863014
all,all,score,final_score_bucket_fine,60_70,t1_net,20,38,38,5.427767215950085,2.8997975696298184,12.03535838827273,0.8363604244989704,0.2521721561423137,63.1578947368421
all,all,score,final_score_bucket_fine,70_75,t1_net,20,149,147,2.6164233522518057,-0.27904761904761866,12.987751869868754,0.9439390359247515,0.19682489498144962,48.97959183673469
all,all,score,final_score_bucket_fine,75_80,t1_net,20,43,40,0.36952795446490283,0.22588829471183358,11.1344694544933,0.8186868538089337,0.1985607277975787,50.0
all,all,score,final_score_bucket_fine,80_85,t1_net,20,52,46,1.5090796768130692,-0.10778995863118357,11.412736980389017,0.8864646052771655,0.21499924711348353,50.0
all,all,score,final_score_bucket_fine,85_90,t1_net,20,4,4,14.539894035418554,8.050013523961034,16.501485794890023,2.640889682731223,1.5247183692249773,100.0
all,all,score,final_score_bucket_fine,90_plus,t1_net,20,1,1,-6.467490144546657,-6.467490144546657,,,,0.0
all,all,data_quality,data_quality_bucket,75_90,t1_net,5,15,15,2.748145663867218,2.0622222222222364,11.200548315317528,0.31440907426724524,0.14060801256086805,60.0
all,all,data_quality,data_quality_bucket,90_plus,t1_net,5,345,334,0.4820480720371633,0.36022730347721643,7.873147218546427,0.18622651921026484,0.038013329053313186,51.796407185628745
all,all,data_quality,data_quality_bucket,75_90,t1_net,10,15,15,0.8653103212980625,2.1578807947019873,14.327582286542773,0.1913385768057947,0.08556921289116429,66.66666666666666
all,all,data_quality,data_quality_bucket,90_plus,t1_net,10,345,334,0.7129811994538832,0.3350255025502503,9.464815770873956,0.3220171140542442,0.06573146815637601,51.796407185628745
all,all,data_quality,data_quality_bucket,75_90,t1_net,20,15,15,2.9781559943242732,-0.4955704697986517,14.843446094838756,0.5911007229836378,0.26434827962813723,40.0
all,all,data_quality,data_quality_bucket,90_plus,t1_net,20,345,334,1.921529099171088,-0.42866787000897066,12.635370213001126,1.051516443840969,0.2146398952963581,49.101796407185624
all,all,data_quality,l2_unknown,False,t1_net,5,360,349,0.579444816671693,0.4293909626719207,8.035756329336225,0.20546261517598077,0.04193988069991436,52.14899713467048
all,all,data_quality,l2_unknown,False,t1_net,10,360,349,0.7195282963812835,0.47076176613294785,9.694366671204886,0.3247273629666968,0.06628469539899616,52.43553008595988
all,all,data_quality,l2_unknown,False,t1_net,20,360,349,1.9669428625730874,-0.46769230769229775,12.71537747779578,1.0825026676112524,0.22096493173743256,48.71060171919771
all,all,risk_flag,overheat_flag,False,t1_net,5,332,332,0.7508144482547535,0.4464647720608218,8.003849154984927,0.9539361520430495,0.19890943779111706,52.40963855421686
all,all,risk_flag,overheat_flag,True,t1_net,5,28,17,-2.767303282479845,-1.1240666082383786,8.166179572731666,-0.465192389235602,-0.20804036098926948,47.05882352941176
all,all,risk_flag,overheat_flag,False,t1_net,10,332,332,0.9625941379193301,0.6556725293995803,9.743835895576803,1.0351709970126457,0.2158480738909697,53.915662650602414
all,all,risk_flag,overheat_flag,True,t1_net,10,28,17,-4.027404608949982,-2.6139877300613468,7.402293699573195,-1.0806152439079868,-0.4832658285801548,23.52941176470588
all,all,risk_flag,overheat_flag,False,t1_net,20,332,332,2.339842963312455,0.044541260328627846,12.858103086261742,1.4977017073498904,0.31229239394034286,50.0
all,all,risk_flag,overheat_flag,True,t1_net,20,28,17,-5.315576751866332,-5.035674025090837,6.086175332610679,-1.687796020637471,-0.7548053268598046,23.52941176470588
all,all,low_base_growth,q0_dt_yoy_gt_200,False,t1_net,5,330,319,0.7135539388206736,0.5210442678773842,8.099995555788576,0.2303519147902471,0.047020387709097916,52.97805642633229
all,all,low_base_growth,q0_dt_yoy_gt_200,True,t1_net,5,30,30,-0.8465821821791357,-1.2196225785720447,7.289187015059935,-0.8516569784119815,-0.21291424460299538,43.333333333333336
all,all,low_base_growth,q0_dt_yoy_gt_200,False,t1_net,10,330,319,0.735594302327641,0.5323076923077031,9.661185398057356,0.24816852090960512,0.050657187204145866,52.03761755485894
all,all,low_base_growth,q0_dt_yoy_gt_200,True,t1_net,10,30,30,0.548693099818348,0.24713379609744746,10.209355728067958,-0.1465322127409254,-0.03663305318523135,56.666666666666664
all,all,low_base_growth,q0_dt_yoy_gt_200,False,t1_net,20,330,319,2.3861326697900136,-0.22811989100817817,12.917612939350153,1.2263490693036014,0.2503274555275724,49.52978056426332
all,all,low_base_growth,q0_dt_yoy_gt_200,True,t1_net,20,30,30,-2.490442087500234,-2.025264966148428,9.376863522521509,-1.8050429994980224,-0.4512607498745056,40.0
all,all,low_base_growth,q1_dt_yoy_gt_200,False,t1_net,5,335,324,0.5018794949311377,0.33659036682420107,7.924746948981754,0.22026154392708266,0.04496069938158129,51.54320987654321
all,all,low_base_growth,q1_dt_yoy_gt_200,True,t1_net,5,25,25,1.5846913864292902,2.1264019253910904,9.485520661252755,-0.1874286467903561,-0.054105989839129696,60.0
all,all,low_base_growth,q1_dt_yoy_gt_200,False,t1_net,10,335,324,0.41802140248475617,0.3350255025502503,9.247874409788603,0.0873663542312064,0.01783358237947515,51.54320987654321
all,all,low_base_growth,q1_dt_yoy_gt_200,True,t1_net,10,25,25,4.627057641280281,2.84842358604092,13.949519859923177,0.7700202602615618,0.2222857022717392,64.0
all,all,low_base_growth,q1_dt_yoy_gt_200,False,t1_net,20,335,324,1.7641849164341175,-0.925769522464238,12.747110884370722,1.062269540351253,0.21683486193011633,46.913580246913575
all,all,low_base_growth,q1_dt_yoy_gt_200,True,t1_net,20,25,25,4.594685844534136,2.2900253736561504,12.239088972868224,1.2112321037845166,0.3496525905855537,72.0
