strategy_variant,subset,period_split,trade_date,window,variant,holding_count,return_pct,win_rate_pct
no_lock,all,all,20240131,10,excess_eligible,15,-2.689210089724226,26.666666666666668
no_lock,all,all,20240229,10,excess_eligible,15,1.2257793644895254,40.0
no_lock,all,all,20240329,10,excess_eligible,15,0.3889746001976129,53.333333333333336
no_lock,all,all,20240430,10,excess_eligible,15,-1.7349132983679474,33.33333333333333
no_lock,all,all,20240531,10,excess_eligible,15,2.300698390353777,60.0
no_lock,all,all,20240628,10,excess_eligible,15,1.7554220014513224,66.66666666666666
no_lock,all,all,20240731,10,excess_eligible,15,0.04793182753696333,46.666666666666664
no_lock,all,all,20240830,10,excess_eligible,15,-0.09134773115298689,33.33333333333333
no_lock,all,all,20240930,10,excess_eligible,4,0.210540433367147,50.0
no_lock,all,all,20241031,10,excess_eligible,14,8.114784386243981,57.14285714285714
no_lock,all,all,20241129,10,excess_eligible,15,1.0148176401010358,46.666666666666664
no_lock,all,all,20241231,10,excess_eligible,15,-5.590879933744524,33.33333333333333
no_lock,all,all,20250127,10,excess_eligible,15,0.4553218668474102,46.666666666666664
no_lock,all,all,20250228,10,excess_eligible,15,1.2828525334381207,53.333333333333336
no_lock,all,all,20250331,10,excess_eligible,15,-0.017521961500268426,53.333333333333336
no_lock,all,all,20250430,10,excess_eligible,15,1.6644960996132028,53.333333333333336
no_lock,all,all,20250530,10,excess_eligible,15,3.848670487337595,60.0
no_lock,all,all,20250630,10,excess_eligible,15,1.078826639521594,53.333333333333336
no_lock,all,all,20250731,10,excess_eligible,15,0.46027394937758453,40.0
no_lock,all,all,20250829,10,excess_eligible,15,-0.2786151281441408,40.0
no_lock,all,all,20250930,10,excess_eligible,15,-2.0863142556927112,33.33333333333333
no_lock,all,all,20251031,10,excess_eligible,15,-2.051493357202686,33.33333333333333
no_lock,all,all,20251128,10,excess_eligible,15,1.7050130218153987,40.0
no_lock,all,all,20251231,10,excess_eligible,15,0.6009822304602045,53.333333333333336
no_lock,all,all,20240131,20,close,15,6.427500378226367,66.66666666666666
no_lock,all,all,20240229,20,close,15,6.280946581958133,53.333333333333336
no_lock,all,all,20240329,20,close,15,-3.497443009672595,26.666666666666668
no_lock,all,all,20240430,20,close,15,-2.912603615126204,20.0
no_lock,all,all,20240531,20,close,15,-1.2685491012946102,40.0
no_lock,all,all,20240628,20,close,15,-2.138602125205456,26.666666666666668
no_lock,all,all,20240731,20,close,15,-7.932248499142919,13.333333333333334
no_lock,all,all,20240830,20,close,15,22.08488064319156,100.0
no_lock,all,all,20240930,20,close,4,-3.3530369746815953,25.0
no_lock,all,all,20241031,20,close,14,6.150655048760375,57.14285714285714
no_lock,all,all,20241129,20,close,15,-2.202921606063846,40.0
no_lock,all,all,20241231,20,close,15,-6.272767141396983,33.33333333333333
no_lock,all,all,20250127,20,close,15,7.805347518470341,66.66666666666666
no_lock,all,all,20250228,20,close,15,-0.2483287647891745,33.33333333333333
no_lock,all,all,20250331,20,close,15,-1.1635264631925182,33.33333333333333
no_lock,all,all,20250430,20,close,15,7.254742485001234,86.66666666666667
no_lock,all,all,20250530,20,close,15,7.929889600622656,80.0
no_lock,all,all,20250630,20,close,15,8.649281174628616,66.66666666666666
no_lock,all,all,20250731,20,close,15,9.871315618699015,86.66666666666667
no_lock,all,all,20250829,20,close,15,-3.452120805904394,26.666666666666668
no_lock,all,all,20250930,20,close,15,-1.3346599892444582,40.0
no_lock,all,all,20251031,20,close,15,-2.9331188705518705,33.33333333333333
no_lock,all,all,20251128,20,close,15,2.6139448718886524,46.666666666666664
no_lock,all,all,20251231,20,close,15,6.398079811918114,66.66666666666666
no_lock,all,all,20240131,20,t1,15,8.446488064753357,73.33333333333333
no_lock,all,all,20240229,20,t1,15,6.236308138646219,53.333333333333336
no_lock,all,all,20240329,20,t1,15,-3.662305146702047,20.0
no_lock,all,all,20240430,20,t1,15,-4.108793101519734,20.0
no_lock,all,all,20240531,20,t1,15,-1.3866723581653344,40.0
no_lock,all,all,20240628,20,t1,15,-1.9779384929680883,26.666666666666668
no_lock,all,all,20240731,20,t1,15,-8.086407895036638,13.333333333333334
no_lock,all,all,20240830,20,t1,15,22.466303506950542,100.0
no_lock,all,all,20240930,20,t1,4,-11.586202780866454,0.0
no_lock,all,all,20241031,20,t1,14,5.955062880972799,57.14285714285714
no_lock,all,all,20241129,20,t1,15,-2.715991323741511,40.0
no_lock,all,all,20241231,20,t1,15,-5.891967994962692,33.33333333333333
no_lock,all,all,20250127,20,t1,15,6.663669330506914,66.66666666666666
no_lock,all,all,20250228,20,t1,15,0.08207694010825245,33.33333333333333
no_lock,all,all,20250331,20,t1,15,-1.2108753959610363,33.33333333333333
no_lock,all,all,20250430,20,t1,15,6.899636936374196,86.66666666666667
no_lock,all,all,20250530,20,t1,15,8.780170441878996,80.0
no_lock,all,all,20250630,20,t1,15,8.735276181946043,73.33333333333333
no_lock,all,all,20250731,20,t1,15,10.116503379588975,86.66666666666667
no_lock,all,all,20250829,20,t1,15,-3.7747048839902466,20.0
no_lock,all,all,20250930,20,t1,15,-2.8649560801453613,40.0
no_lock,all,all,20251031,20,t1,15,-3.032341916262419,33.33333333333333
no_lock,all,all,20251128,20,t1,15,1.9545859831646697,46.666666666666664
no_lock,all,all,20251231,20,t1,15,5.7662806910737885,66.66666666666666
no_lock,all,all,20240131,20,t1_net,15,8.286488064753359,73.33333333333333
no_lock,all,all,20240229,20,t1_net,15,6.076308138646221,53.333333333333336
no_lock,all,all,20240329,20,t1_net,15,-3.8223051467020466,20.0
no_lock,all,all,20240430,20,t1_net,15,-4.268793101519733,20.0
no_lock,all,all,20240531,20,t1_net,15,-1.5466723581653345,40.0
no_lock,all,all,20240628,20,t1_net,15,-2.137938492968088,26.666666666666668
no_lock,all,all,20240731,20,t1_net,15,-8.246407895036638,13.333333333333334
no_lock,all,all,20240830,20,t1_net,15,22.306303506950535,100.0
no_lock,all,all,20240930,20,t1_net,4,-11.746202780866454,0.0
no_lock,all,all,20241031,20,t1_net,14,5.795062880972798,57.14285714285714
no_lock,all,all,20241129,20,t1_net,15,-2.875991323741511,40.0
no_lock,all,all,20241231,20,t1_net,15,-6.051967994962691,33.33333333333333
