strategy_variant,subset,period_split,window,variant,period_count,mean_period_return_pct,median_period_return_pct,compounded_return_pct,max_drawdown_pct,worst_period_return_pct,best_period_return_pct,win_rate_pct,std_pct,monthly_t,sharpe_monthly
baseline,all,all,10,excess_csi1000,24,0.46858448526130564,1.0401822691265359,10.639466936835573,-10.023628843862376,-7.281650997991472,6.2640804182551255,66.66666666666666,3.0990023214254254,0.740749938997762,0.1512049481285236
baseline,all,all,10,excess_eligible,24,0.43402696917323197,0.4577979081124974,10.151094814762018,-5.5908799337445085,-5.590879933744524,8.114784386243981,62.5,2.5331919222482653,0.8393715452381021,0.17133599920373313
baseline,all,all,20,close,24,2.229509825914741,-0.7059276139908464,61.72600794833549,-16.65565332455322,-7.932248499142919,22.08488064319156,45.83333333333333,6.750205498544098,1.618072650140901,0.33028769663317764
baseline,all,all,20,t1,24,1.7863670254490327,-0.564399227926392,44.2542239304633,-17.924370875582873,-10.51659927573286,22.466303506950542,50.0,7.360294742975806,1.1889979568710554,0.24270319162881718
baseline,all,all,20,t1_net,24,1.6263670254490326,-0.7243992279263918,38.883959700925,-18.605373742889107,-10.67659927573286,22.306303506950535,45.83333333333333,7.360294742975805,1.0825026676112524,0.22096493173743256
baseline,all,all,20,excess_csi300,24,0.18153531591360914,-0.1530179000363682,2.269754440614813,-21.48038647820276,-7.888424241286753,6.71228139640574,50.0,4.289398476591299,0.20733391719608155,0.04232185862523821
baseline,all,all,20,excess_csi1000,24,-0.36719510262431426,-0.39676234038888847,-11.237410464049901,-28.304822081519234,-14.366913463452955,7.438482090566809,45.83333333333333,5.070386591719848,-0.3547818775583298,-0.07241954750037385
baseline,all,all,20,excess_eligible,24,0.38640420789569213,0.37333355296097603,7.938618477563164,-10.23724393902057,-9.464091548759567,8.45173961672695,62.5,3.746259321604445,0.5053003876962757,0.10314400972386589
baseline,all,discovery,5,close,12,-0.3499680864737147,-1.3012362253631777,-5.094887041405006,-15.48520822249706,-5.770583228169402,10.268346643879314,41.66666666666667,4.3551501191326984,-0.27836583824616623,-0.08035729582230995
baseline,all,discovery,5,t1,12,-0.979741855712045,-1.106227907427935,-12.618206533790467,-22.215351956530505,-13.445458750685514,10.055814205003356,41.66666666666667,5.410050914091739,-0.6273370433446173,-0.18109660542381936
baseline,all,discovery,5,t1_net,12,-1.139741855712045,-1.2662279074279348,-14.30226574420671,-22.868304182684984,-13.605458750685518,9.895814205003356,41.66666666666667,5.41005091409174,-0.7297864042144661,-0.21067118846207553
baseline,all,discovery,5,excess_csi300,12,-0.6959532066262176,-0.020759401691209378,-8.541261175293391,-12.204709492205435,-6.520009086272386,3.4832289668235057,50.0,3.1107040231250163,-0.7750183267877202,-0.22372851979889183
baseline,all,discovery,5,excess_csi1000,12,0.24199062602852509,1.133239221350918,2.609145643271793,-8.381435576366481,-3.99317755053952,3.319991935435515,66.66666666666666,2.4243034643427004,0.3457818424150511,0.09981861989960726
baseline,all,discovery,5,excess_eligible,12,0.15594584045759288,-0.25673828930985376,1.5995091191526312,-4.287622481624254,-2.12795913289035,6.717134959084374,50.0,2.3041954888821543,0.23444722481651845,0.06767908417928882
baseline,all,discovery,10,close,12,-0.4674333460547873,0.08092395547325704,-7.024891722259719,-20.49922611008431,-8.592060336283874,8.941392556249394,50.0,5.4902877513011985,-0.2949274577919663,-0.08513822357380187
baseline,all,discovery,10,t1,12,-1.0998598666952712,-0.329577488308778,-14.444462247589286,-27.903397294691434,-12.786570438788601,8.690937351587591,50.0,6.395128343403181,-0.5957701137576812,-0.1719840177765656
baseline,all,discovery,10,t1_net,12,-1.259859866695271,-0.489577488308778,-16.097089676977006,-28.74634664604955,-12.946570438788601,8.530937351587594,50.0,6.395128343403181,-0.6824386258906356,-0.1970030621816784
baseline,all,discovery,10,excess_csi300,12,-0.6383400425420852,-0.8279350971453752,-8.31876297861508,-15.194213567664184,-6.407342756885899,7.285572287305943,41.66666666666667,4.255944740726745,-0.5195731869393452,-0.14998785967157136
baseline,all,discovery,10,excess_csi1000,12,-0.30237230161249024,0.4025894932936596,-4.359166148004235,-10.023628843862376,-7.281650997991472,6.2640804182551255,58.333333333333336,3.8410201087079097,-0.2727005713961496,-0.07872187415186588
baseline,all,discovery,10,excess_eligible,12,0.312846261190522,0.2184532138672881,3.21840523382253,-5.5908799337445085,-5.590879933744524,8.114784386243981,58.333333333333336,3.2783028955565205,0.3305769092138517,0.09542933376124588
