strategy_variant,subset,period_split,trade_date,window,variant,sample_count,available_count,mean_return_pct,median_return_pct,std_pct,win_rate_pct
no_lock,tier1_only,all,20250331,20,t1_net,15,15,-1.3708753959610358,-3.2589272943980907,12.66743577567876,33.33333333333333
no_lock,tier1_only,all,20250331,20,excess_csi300,15,15,1.6856408101782407,-0.2024110882588137,12.66743577567876,40.0
no_lock,tier1_only,all,20250331,20,excess_csi1000,15,15,4.478133656191159,2.5900817577541035,12.66743577567876,60.0
no_lock,tier1_only,all,20250331,20,excess_eligible,15,15,3.16274227986382,1.2746903814267654,12.66743577567876,53.333333333333336
no_lock,tier1_only,all,20250430,5,close,15,15,2.2448075535790317,1.477832512315258,2.6742323718092496,86.66666666666667
no_lock,tier1_only,all,20250430,5,t1,15,15,1.9007706928815762,1.477832512315258,2.538820959368594,86.66666666666667
no_lock,tier1_only,all,20250430,5,t1_net,15,15,1.7407706928815763,1.317832512315258,2.538820959368594,86.66666666666667
no_lock,tier1_only,all,20250430,5,excess_csi300,15,15,-0.25404843162128393,-0.6769866121876023,2.538820959368594,33.33333333333333
no_lock,tier1_only,all,20250430,5,excess_csi1000,15,15,0.8432690741078389,0.42033089354152064,2.538820959368594,60.0
no_lock,tier1_only,all,20250430,5,excess_eligible,15,15,-0.10889149071772748,-0.5318296712840458,2.538820959368594,40.0
no_lock,tier1_only,all,20250430,10,close,15,15,4.792255021726119,3.4554973821989465,5.912340288477076,86.66666666666667
no_lock,tier1_only,all,20250430,10,t1,15,15,4.424042665604365,3.563941299790363,5.477801773342505,86.66666666666667
no_lock,tier1_only,all,20250430,10,t1_net,15,15,4.264042665604365,3.403941299790363,5.477801773342505,86.66666666666667
no_lock,tier1_only,all,20250430,10,excess_csi300,15,15,2.6227524922298966,1.7626511264158928,5.477801773342506,66.66666666666666
no_lock,tier1_only,all,20250430,10,excess_csi1000,15,15,4.5483306685595295,3.688229302745527,5.477801773342505,86.66666666666667
no_lock,tier1_only,all,20250430,10,excess_eligible,15,15,1.6644960996132028,0.8043947337992003,5.477801773342505,53.333333333333336
no_lock,tier1_only,all,20250430,20,close,15,15,7.254742485001234,3.8709677419354716,13.024462759249031,86.66666666666667
no_lock,tier1_only,all,20250430,20,t1,15,15,6.899636936374196,3.5641547861507084,12.999988520984171,86.66666666666667
no_lock,tier1_only,all,20250430,20,t1_net,15,15,6.739636936374197,3.404154786150708,12.999988520984171,80.0
no_lock,tier1_only,all,20250430,20,excess_csi300,15,15,5.758247516631861,2.422765366408375,12.999988520984171,73.33333333333333
no_lock,tier1_only,all,20250430,20,excess_csi1000,15,15,7.438482090566809,4.102999940343322,12.999988520984171,86.66666666666667
no_lock,tier1_only,all,20250430,20,excess_eligible,15,15,4.585625922618937,1.2501437723954507,12.999988520984171,60.0
