trade_date,horizon_days,benchmark,sample_count,mean_gross_return_pct,mean_net_return_pct,mean_benchmark_return_pct,mean_gross_excess_pct,mean_net_excess_pct,mean_uncorrected_close_to_close_benchmark_pct,mean_uncorrected_gross_excess_pct,mean_anchor_only_delta_pct
20251031,5,CSI1000,9,0.2122285835,0.0522285835,0.459600115,-0.2473715315,-0.4073715315,0.0498824786,0.1623461049,-0.4097176364
20251128,5,CSI1000,15,1.0880288877,0.9280288877,-0.1905889354,1.2786178231,1.1186178231,-0.598221304,1.6862501917,-0.4076323686
20251231,5,CSI1000,15,5.8261822647,5.6661822647,6.4093618233,-0.5831795585,-0.7431795585,4.8401974237,0.985984841,-1.5691643995
20240131,5,CSI300,15,-1.8712003383,-2.0312003383,4.4148213741,-6.2860217123,-6.4460217123,3.913322356,-5.7845226942,-0.5014990181
20240229,5,CSI300,15,1.4935590066,1.3335590066,0.4170854956,1.0764735109,0.9164735109,-0.2285118242,1.7220708308,-0.6455973198
20240329,5,CSI300,15,0.3228929939,0.1628929939,-0.5094744412,0.8323674351,0.6723674351,-1.7287433086,2.0516363025,-1.2192688675
20240430,5,CSI300,3,0.4691977317,0.3091977317,0.3346589406,0.134538791,-0.025461209,0.2296523554,0.2395453762,-0.1050065852
20240531,5,CSI300,15,-1.7041092372,-1.8641092372,-0.091281893,-1.6128273442,-1.7728273442,-0.4077744878,-1.2963347493,-0.3164925949
20240628,5,CSI300,15,-0.8601248648,-1.0201248648,-0.7866115238,-0.073513341,-0.233513341,-1.3547936973,0.4946688325,-0.5681821735
20240731,5,CSI300,15,-5.1069177055,-5.2669177055,-2.9522676643,-2.1546500412,-2.3146500412,-2.2746866243,-2.8322310812,0.67758104
20240830,5,CSI300,15,-2.8180188473,-2.9780188473,-2.3037491997,-0.5142696476,-0.6742696476,-1.031093004,-1.7869258433,1.2726561957
20241031,5,CSI300,8,12.9873645346,12.8273645346,6.7801713961,6.2071931385,6.0471931385,6.5725852382,6.4147792964,-0.2075861579
20241129,5,CSI300,12,1.830345674,1.670345674,1.6225683031,0.2077773709,0.0477773709,0.6461721863,1.1841734877,-0.9763961168
20241231,5,CSI300,3,0.3959459872,0.2359459872,-3.6268283697,4.022774357,3.862774357,-0.8161433142,1.2120893014,2.8106850556
20250127,5,CSI300,15,7.0157116883,6.8557116883,0.999698338,6.0160133504,5.8560133504,2.3201167995,4.6955948888,1.3204184615
20250228,5,CSI300,15,4.0034222182,3.8434222182,1.136450065,2.8669721532,2.7069721532,1.4283367423,2.5750854759,0.2918866773
20250331,5,CSI300,15,-9.5871704605,-9.7471704605,-6.2171619589,-3.3700085016,-3.5300085016,-6.0942477296,-3.4929227308,0.1229142292
20250430,5,CSI300,15,1.9007706929,1.7407706929,2.5362248657,-0.6354541728,-0.7954541728,2.1548191245,-0.2540484316,-0.3814057412
20250530,5,CSI300,15,5.7349156179,5.5749156179,1.3509341852,4.3839814327,4.2239814327,0.8627489728,4.8721666451,-0.4881852124
20250630,5,CSI300,15,1.3983080303,1.2383080303,0.7435844915,0.6547235388,0.4947235388,0.5684492242,0.8298588061,-0.1751352673
20250731,5,CSI300,15,2.8608229632,2.7008229632,1.0992977906,1.7615251727,1.6015251727,1.4732047316,1.3876182316,0.3739069411
20250829,5,CSI300,15,0.2774168558,0.1174168558,-1.2520548759,1.5294717316,1.3694717316,-1.4011991172,1.678615973,-0.1491442414
20250930,5,CSI300,15,-2.6287163817,-2.7887163817,-1.1974269265,-1.4312894551,-1.5912894551,-2.1911985225,-0.4375178592,-0.9937715959
20251031,5,CSI300,9,0.2122285835,0.0522285835,0.9071496321,-0.6949210485,-0.8549210485,0.5456566107,-0.3334280271,-0.3614930214
20251128,5,CSI300,15,1.0880288877,0.9280288877,0.9990576067,0.088971281,-0.071028719,0.1759253869,0.9121035008,-0.8231322198
20251231,5,CSI300,15,5.8261822647,5.6661822647,2.0873898665,3.7387923982,3.5787923982,0.8727982095,4.9533840552,-1.214591657
20240131,20,CSI1000,15,8.4464880648,8.2864880648,11.5624527927,-3.115964728,-3.275964728,11.6374956033,-3.1910075386,0.0750428106
20240229,20,CSI1000,15,6.2363081386,6.0763081386,0.5136729103,5.7226352283,5.5626352283,-0.3647412261,6.6010493647,-0.8784141364
20240329,20,CSI1000,15,-3.6623051467,-3.8223051467,0.6562762561,-4.3185814028,-4.4785814028,-1.1085587791,-2.5537463676,-1.7648350353
20240430,20,CSI1000,3,-4.2783095564,-4.4383095564,-3.6646318604,-0.613677696,-0.773677696,-4.4879402336,0.2096306772,-0.8233083732
20240531,20,CSI1000,15,-1.3866723582,-1.5466723582,-7.6700226623,6.2833503042,6.1233503042,-6.5165757501,5.1299033919,1.1534469123
20240628,20,CSI1000,15,-1.977938493,-2.137938493,-3.9325134733,1.9545749804,1.7945749804,-4.8209552109,2.843016718,-0.8884417376
20240731,20,CSI1000,15,-8.086407895,-8.246407895,-8.6675234383,0.5811155433,0.4211155433,-8.3582358487,0.2718279536,0.3092875896
20240830,20,CSI1000,15,22.466303507,22.306303507,34.0337495701,-11.5674460632,-11.7274460632,36.8332169704,-14.3669134635,2.7994674003
20241031,20,CSI1000,8,9.2549160089,9.0949160089,-0.2410294444,9.4959454533,9.3359454533,2.6281147623,6.6268012466,2.8691442067
20241129,20,CSI1000,12,-3.4443471096,-3.6043471096,-0.2785078778,-3.1658392317,-3.3258392317,-2.2497818482,-1.1945652614,-1.9712739703
20241231,20,CSI1000,3,-1.1881916757,-1.3481916757,1.5659523939,-2.7541440696,-2.9141440696,4.2218551414,-5.4100468171,2.6559027475
20250127,20,CSI1000,15,6.6636693305,6.5036693305,7.7470368338,-1.0833675033,-1.2433675033,8.0965099581,-1.4328406276,0.3494731243
20250228,20,CSI1000,15,0.0820769401,-0.0779230599,-0.361286266,0.4433632061,0.2833632061,-0.0852531307,0.1673300708,0.2760331353
20250331,20,CSI1000,15,-1.210875396,-1.370875396,-5.4259264,4.215051004,4.055051004,-5.6890090522,4.4781336562,-0.2630826521
20250430,20,CSI1000,15,6.8996369364,6.7396369364,1.2798052396,5.6198316968,5.4598316968,-0.5388451542,7.4384820906,-1.8186503938
20250530,20,CSI1000,15,8.7801704419,8.6201704419,5.774442535,3.0057279069,2.8457279069,4.7140488506,4.0661215913,-1.0603936844
20250630,20,CSI1000,15,8.7352761819,8.5752761819,5.8495689857,2.8857071963,2.7257071963,5.5887052304,3.1465709516,-0.2608637553
20250731,20,CSI1000,15,10.1165033796,9.9565033796,11.72382848,-1.6073251004,-1.7673251004,11.642925718,-1.5264223384,-0.080902762
20250829,20,CSI1000,15,-3.774704884,-3.934704884,-1.0355972829,-2.7391076011,-2.8991076011,-1.3805739583,-2.3941309257,-0.3449766754
20250930,20,CSI1000,15,-2.8649560801,-3.0249560801,-2.0783050529,-0.7866510273,-0.9466510273,-2.395238589,-0.4697174911,-0.3169335362
20251031,20,CSI1000,9,-5.5024303852,-5.6624303852,-2.3065907958,-3.1958395894,-3.3558395894,-2.705026711,-2.7974036742,-0.3984359152
20251128,20,CSI1000,15,1.9545859832,1.7945859832,3.384984117,-1.4303981338,-1.5903981338,2.9627487235,-1.0081627403,-0.4222353935
20251231,20,CSI1000,15,5.7662806911,5.6062806911,8.0544509403,-2.2881702492,-2.4481702492,6.4610272535,-0.6947465624,-1.5934236868
20240131,20,CSI300,15,8.4464880648,8.2864880648,10.2260112588,-1.7795231941,-1.9395231941,9.6966013945,-1.2501133297,-0.5294098643
20240229,20,CSI300,15,6.2363081386,6.0763081386,0.1680227986,6.0682853401,5.9082853401,-0.4759732578,6.7122813964,-0.6439960564
20240329,20,CSI300,15,-3.6623051467,-3.8223051467,1.4870220492,-5.1493271959,-5.3093271959,0.2432858669,-3.9055910136,-1.2437361823
20240430,20,CSI300,3,-4.2783095564,-4.4383095564,-2.0285390301,-2.2497705264,-2.4097705264,-2.1310723787,-2.1472371777,-0.1025333486
20240531,20,CSI300,15,-1.3866723582,-1.5466723582,-2.7728981977,1.3862258396,1.2262258396,-3.0808959213,1.6942235631,-0.3079977236
20240628,20,CSI300,15,-1.977938493,-2.137938493,-1.4160430107,-0.5618954823,-0.7218954823,-1.980620512,0.002682019,-0.5645775013
20240731,20,CSI300,15,-8.086407895,-8.246407895,-4.5494552545,-3.5369526406,-3.6969526406,-3.8830256757,-4.2033822193,0.6664295787
